avgRateByFrame,avgRateBytes,maxRate,minRate,avgRate,avgDt,estAvgBufferTime,changes,queueLength,queueLengthInBytes,duration_min,ul_txPackets,ul_txBytes,ul_txOffered,ul_xBytes,ul_rxOfferedthroughput,ul_meanDelay,ul_meanJitter,ul_rxPackets,ul_pdcp_nTxPDUs,ul_pdcp_TxBytes,ul_pdcp_nRxPDUs,ul_pdcp_RxBytes,ul_pdcp_delay_s,ul_pdcp_stdDev_s,ul_pdcp_min_s,ul_pdcp_max_s,ul_pdcp_PduSize,ul_pdcp_stdDev,ul_rlc_nTxPDUs,ul_rlc_TxBytes,ul_rlc_nRxPDUs,ul_rlc_RxBytes,ul_rlc_delay_s,ul_rlc_stdDev_s,ul_rlc_min_s,ul_rlc_max_s,ul_rlc_PduSize,ul_rlc_stdDev,ul_rlc_min,ul_rlc_max,IMSI,cellId,rnti,dl_mac_mcs,dl_mac_TbSize,index_x,sinr,dl_pathLoss_dB,ul_pathLoss_dB,ul_tbSize,ul_mcs,ul_rv,ul_SINR_dB,ul_CQI,ul_corrupt,ul_rv_max,dl_tbSize,dl_mcs,dl_rv,dl_SINR_dB,dl_CQI,dl_corrupt,UL_DCI_rxMac,BSR_txMac,SR_txMac,UL_DCI_rxPhy_x,DL_DCI_rxPhy_x,qoe_YinX_v1,qoe_YinX_v2,nodes
2388,105993,4220,1547,16850,78.25,16.73,2,1585,18290,230,35840,21028508,18.4,21028508,18.34,30.48,0.34,35840,35840,21100168,35840,21100168,0.03047,0.01157,0.003214,0.05914,589.0,17.81,5588,21166132,5588,21166132,0.002455,0.0004187,0.00217,0.00796,3788,1295.0,27,19310,34,13,2,27.95,2500.0,3691,50.9,-79.5,-79.5,3998,28.0,0.005,33.78,0.01,0.005,1,2500.0,27.95,0.0,50.9,15.0,0.0,6230,6230,162,30160,2772,57.1,35.25,5
2288,106552,4220,1547,15130,67.1,14.78,3,1426,15940,268,31820,18673824,16.58,18673824,16.55,31.2,0.3572,31820,31820,18737460,31820,18737460,0.03119,0.01217,0.008,0.0636,589.0,17.27,5148,18796456,5148,18796456,0.002878,0.0006704,0.00217,0.00796,3650,1477.0,27,19310,68,23,5,27.95,2118.0,4294,49.2,-81.3,-81.3,3744,27.97,0.019,30.19,0.02,0.019,1,2118.0,27.95,0.0,49.2,15.0,0.0,5812,5812,143,37120,3032,50.47,31.16,6
2204,99095,4220,1547,13680,55.44,13.64,3,1311,14690,262,29740,17453192,15.23,17330378,15.12,35.0,0.3997,29520,29740,17512668,29520,17389432,0.03497,0.01415,0.00357,0.07465,589.0,16.97,4630,17444240,4630,17444240,0.003647,0.00179,0.002243,0.00796,3764,1535.0,27,19310,1,1,6,27.95,2048.0,4733,46.97,-78.44,-78.44,3854,27.84,0.13,27.56,0.13,0.13,1,2048.0,27.95,0.0,46.9,15.0,0.0,5896,5896,137,36930,2928,47.03,29.03,6
2204,100848,4220,1547,12810,48.3,12.81,3,1226,13930,325,27820,16329751,14.28,16329751,14.25,34.44,0.394,27820,27820,16385399,27820,16385399,0.03442,0.0128,0.004,0.0636,589.0,17.66,5070,16438468,5070,16438468,0.002295,0.0004592,0.00217,0.00796,3240,997.5,27,19310,49,13,1,27.81,2508.0,5430,49.12,-81.7,-81.7,3328,27.98,0.006,29.23,0.01,0.006,1,2510.0,27.8,0.02,49.12,14.93,0.02,5580,5580,128,42620,3394,43.9,27.1,7
2204,105435,4220,1547,12376,44.97,11.95,3,1126,12840,365,26110,15326310,13.71,15326310,13.67,40.84,0.4893,26110,26110,15378538,26110,15378538,0.04083,0.0191,0.003,0.08057,589.0,17.58,5744,15430627,5744,15430627,0.00303,0.001078,0.00217,0.00796,2688,1781.0,24,19310,79,23,6,27.89,1871.0,4966,50.9,-78.44,-78.44,2862,27.95,0.046,31.44,0.05,0.047,1,1871.0,27.89,0.0,50.9,15.0,0.0,6464,6464,119,43260,3208,40.8,25.16,7
2008,95159,3840,1547,12960,51.72,12.93,4,1226,14024,360,27550,16170650,14.47,16170650,14.38,40.88,0.4622,27550,27550,16225756,27550,16225756,0.04086,0.01741,0.003714,0.0683,589.0,17.8,6028,16280731,6028,16280731,0.002844,9.17e-05,0.002386,0.002956,2700,2228.0,24,19310,37,11,6,27.9,1948.0,5512,50.9,-83.8,-83.8,2970,28.0,0.0,32.88,0.0,0.0,0,1948.0,27.9,0.0,50.9,15.0,0.0,6508,6508,125,42980,3496,43.12,26.6,7
3352,223089,9500,1245,34940,26.3,10.26,4,790,29260,41,59040,33439766,30.03,33439766,29.95,17.56,0.1167,59040,59040,33557904,59040,33557904,0.01753,0.005318,0.00307,0.0295,568.5,104.1,2244,33651090,2244,33651090,0.003136,0.000927,0.002956,0.00796,14990,6724.0,23,19310,5,9,1,27.95,3816.0,2332,37.56,-85.7,-85.7,15990,27.55,0.029,25.8,0.03,0.028,1,3816.0,27.95,0.0,37.56,15.0,0.0,3372,3372,307,3484,706,100.6,61.62,1
1706,82521,3528,1245,10030,31.98,10.08,4,926,10590,467,21400,12563050,11.25,12563050,11.19,49.16,0.5884,21400,21400,12605862,21400,12605862,0.04913,0.02147,0.00343,0.09717,589.0,17.92,4960,12649193,4960,12649193,0.003592,0.0022,0.00217,0.012955,2550,1127.0,10,19310,33,7,4,27.83,2012.0,786,44.2,-82.56,-82.56,2604,27.61,0.168,25.31,0.17,0.166,2,2014.0,27.83,0.003,44.2,15.0,0.003,6348,6348,100,54800,3628,32.28,19.84,9
2388,106854,4220,1547,14696,62.0,14.76,2,1406,15840,298,31650,18577644,16.22,18434172,16.11,33.97,0.376,31410,31650,18640956,31410,18496996,0.03397,0.0127,0.003786,0.06433,589.0,17.89,5428,18556212,5428,18556212,0.002329,0.0006003,0.00217,0.00796,3418,1099.0,27,19310,30,9,1,27.9,2676.0,4464,51.84,-80.94,-80.94,3594,27.97,0.011,33.1,0.01,0.011,1,2678.0,27.9,0.007,51.84,15.0,0.007,6036,6036,141,36350,2956,50.84,31.39,6
2388,109300,4220,1547,23580,40.2,12.04,3,1098,27070,118,51700,30353638,26.48,30210414,26.39,22.1,0.207,51500,51700,30457072,51500,30313360,0.02208,0.00609,0.002928,0.03656,589.0,16.92,4696,30401284,4696,30401284,0.002426,0.00011456,0.00217,0.002956,6470,1852.0,27,19310,24,15,1,27.4,3208.0,2769,51.47,-77.4,-77.4,6668,27.98,0.0,35.72,0.0,0.0,1,3208.0,27.4,0.038,51.47,14.78,0.038,5544,5544,222,17280,1988,94.06,57.9,3
