avgRateByFrame,avgRateBytes,maxRate,minRate,avgRate,avgDt,estAvgBufferTime,changes,queueLength,queueLengthInBytes,duration_min,ul_txPackets,ul_txBytes,ul_txOffered,ul_xBytes,ul_rxOfferedthroughput,ul_meanDelay,ul_meanJitter,ul_rxPackets,ul_pdcp_nTxPDUs,ul_pdcp_TxBytes,ul_pdcp_nRxPDUs,ul_pdcp_RxBytes,ul_pdcp_delay_s,ul_pdcp_stdDev_s,ul_pdcp_min_s,ul_pdcp_max_s,ul_pdcp_PduSize,ul_pdcp_stdDev,ul_rlc_nTxPDUs,ul_rlc_TxBytes,ul_rlc_nRxPDUs,ul_rlc_RxBytes,ul_rlc_delay_s,ul_rlc_stdDev_s,ul_rlc_min_s,ul_rlc_max_s,ul_rlc_PduSize,ul_rlc_stdDev,ul_rlc_min,ul_rlc_max,IMSI,cellId,rnti,dl_mac_mcs,dl_mac_TbSize,index_x,sinr,dl_pathLoss_dB,ul_pathLoss_dB,ul_tbSize,ul_mcs,ul_rv,ul_SINR_dB,ul_CQI,ul_corrupt,ul_rv_max,dl_tbSize,dl_mcs,dl_rv,dl_SINR_dB,dl_CQI,dl_corrupt,UL_DCI_rxMac,BSR_txMac,SR_txMac,UL_DCI_rxPhy_x,DL_DCI_rxPhy_x,qoe_YinX_v1,qoe_YinX_v2,nodes
1406,64823,2484,1245,9430,36.06,11.02,7,1011,10710,470,21220,12450133,10.875,12316164,10.74,37.75,0.458,20980,21220,12492555,20980,12358130,0.03775,0.014244,0.003786,0.0722,589.0,17.39,3976,12403787,3976,12398963,0.002907,0.001814,0.00217,0.00796,3118,446.0,11,6430,9,1,1,27.9,2556.0,108,52.16,-79.6,-79.6,3158,27.75,0.103,26.66,0.1,0.103,1,2556.0,27.9,0.0,52.16,15.0,0.0,4830,4830,105,55300,3790,30.5,18.75,9
1699,78557,3080,1547,10310,36.72,10.97,6,1021,11416,522,22690,13313372,11.625,13270391,11.58,46.44,0.5815,22610,22690,13358738,22610,13315609,0.04645,0.0204,0.003714,0.0831,589.0,17.23,6244,13364227,6244,13364227,0.002707,0.0003483,0.00217,0.00796,2140,984.0,27,19310,49,11,6,27.89,1775.0,698,49.25,-79.4,-79.4,2238,27.98,0.004,35.62,0.0,0.004,1,1775.0,27.89,0.0,49.25,15.0,0.0,6690,6690,110,55970,4124,34.5,21.25,9
3432,157146,9500,1547,27780,46.25,13.11,3,1134,29260,72,57760,33546908,30.16,33546908,30.12,20.81,0.1445,57760,57760,33662464,57760,33662464,0.0208,0.00584,0.00307,0.03336,583.0,58.88,3326,33755852,3326,33755852,0.002802,0.0009775,0.00217,0.00796,10150,4364.0,27,19310,6,5,1,27.95,3616.0,2476,47.72,-79.4,-79.4,10730,27.81,0.028,28.31,0.03,0.028,1,3616.0,27.95,0.0,47.72,15.0,0.0,4436,4436,257,8950,1327,106.5,65.6,2
2008,91977,3840,1547,11130,35.62,10.86,4,1009,12020,410,24340,14281540,12.51,14253316,12.445,47.03,0.5405,24290,24340,14330206,24290,14301886,0.04703,0.02002,0.003714,0.08234,589.0,17.38,5956,14380155,5950,14366636,0.003077,0.001146,0.00217,0.00796,2414,1631.0,25,19310,58,15,7,27.89,1801.0,5702,44.56,-83.6,-83.6,2530,27.94,0.051,27.58,0.05,0.051,1,1801.0,27.89,0.0,44.56,15.0,0.0,6710,6710,112,49060,3536,36.88,22.72,8
1946,91950,4220,1033,11990,44.6,12.01,3,1126,13000,325,25890,15190729,13.55,15180733,13.516,43.25,0.5005,25870,25890,15242493,25870,15232463,0.04324,0.02141,0.00307,0.1665,589.0,17.39,4022,15290282,4020,15280626,0.005344,0.003325,0.002314,0.01796,3800,2702.0,27,19310,52,15,5,27.72,1976.0,5441,39.28,-81.5,-81.5,3926,26.48,0.39,19.3,0.34,0.334,3,1976.0,27.73,0.028,39.28,14.85,0.028,6456,6456,115,41700,3240,39.38,24.23,7
1699,78037,3080,1547,9040,29.14,9.99,6,889,9610,551,19600,11506068,10.12,11506068,10.055,44.2,0.5776,19600,19600,11545274,19600,11545274,0.0442,0.02022,0.003,0.0858,589.0,17.25,5290,11586759,5290,11586759,0.00258,0.0006948,0.00217,0.00796,2190,809.0,11,6430,27,5,4,27.86,1856.0,1343,47.8,-80.2,-80.2,2250,27.98,0.017,31.72,0.02,0.017,1,1856.0,27.86,0.0,47.8,15.0,0.0,5764,5764,102,61470,4046,29.62,18.23,10
715,302494,2134,1245,4350,0.0,2.44,2,0,0,606,935,544676,0.4885,480324,5.94,56.8,1.079,821,935,546546,821,481966,0.0568,0.0393,0.0085,0.12476,587.0,35.7,206,497073,202,484869,0.00545,0.003496,0.002672,0.01788,2400,3228.0,27,18690,31,7,10,23.02,1510.0,1479,34.0,-88.8,-88.8,2710,23.56,0.453,14.09,0.36,0.362,3,1510.0,23.02,0.067,34.0,14.44,0.067,361,361,13,55260,3882,2.43,1.46,10
2288,107703,4220,1547,12056,44.16,11.89,3,1126,12380,435,25470,14950638,13.336,14950638,13.24,34.7,0.4104,25470,25470,15001584,25470,15001584,0.03467,0.01296,0.003357,0.0654,589.0,17.47,4796,15050511,4796,15050511,0.002783,0.0008736,0.002243,0.00796,3138,466.5,27,9656,21,5,4,27.94,2172.0,6235,46.25,-80.7,-80.7,3180,27.98,0.027,29.48,0.03,0.026,1,2172.0,27.94,0.011,46.25,14.95,0.011,5372,5372,115,49440,3750,41.1,25.34,8
1849,88587,3840,1547,9170,25.78,9.04,4,826,9490,556,19950,11709207,10.27,11706855,10.26,51.28,0.6655,19950,19950,11749107,19950,11746747,0.05127,0.02502,0.004787,0.1658,589.0,17.4,6170,11793214,6170,11791612,0.002935,0.0006223,0.00217,0.00796,1911,1008.5,27,19310,21,5,10,27.88,1654.0,2189,56.53,-76.5,-76.5,2016,27.98,0.016,36.2,0.02,0.016,1,1654.0,27.88,0.0,56.53,15.0,0.0,6652,6652,94,61470,3860,30.05,18.48,10
1059,51496,2134,791,4920,20.56,8.45,4,695,4716,511,9940,5838065,5.11,5776325,5.043,45.6,0.958,9830,9940,5857941,9830,5795991,0.0456,0.02748,0.007286,0.269,589.5,15.67,2160,5852921,2150,5824774,0.006836,0.003937,0.00217,0.01796,2710,1048.0,4,17710,45,9,1,27.84,2472.0,252,41.22,-83.94,-83.94,2876,25.81,0.568,14.9,0.46,0.458,3,2472.0,27.84,0.0,41.2,15.0,0.0,4410,4410,103,53540,3342,12.69,7.78,9
2204,100264,4220,1547,12100,41.72,11.8,3,1115,12984,409,26300,15438628,13.51,15378312,13.414,48.34,0.531,26200,26300,15491238,26200,15430716,0.04834,0.01843,0.003786,0.0768,589.0,17.45,6540,15499844,6536,15485372,0.002949,2.26e-05,0.002813,0.002956,2368,1516.0,27,19310,89,23,8,27.9,1777.0,6503,53.6,-75.9,-75.9,2624,28.0,0.0,38.6,0.0,0.0,0,1777.0,27.9,0.0,53.6,15.0,0.0,7070,7070,119,49100,3872,40.8,25.16,8
2204,97456,4220,1547,10290,26.89,9.68,3,867,10296,516,22130,12988348,11.4,12954832,11.305,34.47,0.4167,22080,22130,13032608,22080,12998978,0.03445,0.01323,0.003143,0.06555,589.0,17.48,4184,13048284,4184,13041858,0.002617,0.000939,0.00217,0.01253,3118,431.8,27,9656,25,5,3,27.9,2220.0,452,44.66,-83.1,-83.1,3156,27.98,0.029,29.98,0.03,0.029,2,2220.0,27.9,0.003,44.62,14.99,0.003,4690,4690,102,56480,3720,34.56,21.28,9
2204,99426,4220,1547,10960,34.38,10.87,3,984,11096,467,23460,13763521,12.016,13620297,11.95,36.16,0.4043,23200,23460,13810425,23200,13666713,0.03616,0.01306,0.002787,0.06537,589.0,18.03,4360,13712885,4360,13711283,0.002323,0.000664,0.00217,0.01274,3146,510.5,27,16800,108,23,1,27.86,2604.0,855,43.47,-87.6,-87.6,3184,27.97,0.014,27.16,0.01,0.014,2,2614.0,27.86,0.01,43.44,14.95,0.01,4828,4828,108,53630,3740,37.7,23.22,9
2388,123068,4220,1547,27360,44.88,12.41,3,1123,29300,75,55300,32302636,28.97,32302636,28.92,22.03,0.1443,55300,55300,32413196,55300,32413196,0.022,0.00601,0.00357,0.03857,586.5,40.66,3232,32502832,3232,32502832,0.003304,0.001264,0.00253,0.00796,10056,4884.0,27,19310,7,7,2,27.48,3882.0,2527,43.1,-84.44,-84.44,10480,26.69,0.067,26.45,0.07,0.067,1,3886.0,27.48,0.048,43.1,14.71,0.048,4616,4616,251,9070,1100,94.06,57.9,2
2388,113534,4220,1547,19780,52.38,13.63,3,1226,22110,166,42850,25152874,22.17,25152874,22.08,25.7,0.2656,42850,42850,25238588,42850,25238588,0.0257,0.00853,0.002857,0.0542,589.0,17.05,5030,25313296,5030,25313296,0.002665,0.000774,0.00217,0.00796,5028,1698.0,15,19310,3,1,2,27.8,2824.0,3049,49.62,-80.56,-80.56,5184,27.88,0.021,32.94,0.02,0.021,1,2824.0,27.8,0.015,49.62,14.95,0.015,5856,5856,185,24200,2426,70.4,43.22,4
2388,106637,4220,1547,19250,63.12,15.33,3,1359,21390,167,41630,24430320,21.31,24363536,21.27,27.2,0.2566,41500,41630,24513572,41500,24446560,0.02719,0.009224,0.003643,0.05408,589.0,17.1,4616,24518556,4616,24518556,0.002794,0.001218,0.00217,0.00796,5310,1980.0,27,19310,15,7,2,27.94,2954.0,3349,47.66,-82.4,-82.4,5508,27.72,0.052,28.38,0.05,0.051,1,2950.0,27.94,0.0,47.62,15.0,0.0,5588,5588,184,22880,2228,71.5,43.88,4
1787,83562,3528,1547,9680,30.3,10.02,4,911,10380,504,21220,12450011,10.94,12376511,10.8,50.47,0.628,21090,21220,12492435,21090,12418685,0.05048,0.0235,0.003214,0.1067,589.0,17.23,5140,12470318,5136,12462299,0.00376,0.002575,0.00217,0.01796,2426,1249.0,27,19310,59,13,5,27.67,1825.0,1030,45.0,-82.4,-82.4,2504,27.92,0.211,26.23,0.18,0.183,3,1828.0,27.7,0.035,45.0,14.77,0.033,6690,6690,98,56860,3536,32.88,20.23,9
1500,69621,2484,1245,9736,36.4,11.09,6,1011,10930,504,21710,12740077,11.12,12596265,11.0,42.9,0.521,21460,21710,12783487,21460,12639185,0.04288,0.01733,0.003143,0.0943,589.0,17.23,4064,12738814,4064,12737212,0.004005,0.002764,0.00217,0.01796,3134,772.0,14,19310,52,11,3,27.92,2286.0,1019,41.84,-87.56,-87.56,3186,27.8,0.242,21.64,0.22,0.218,3,2286.0,27.92,0.0,41.84,15.0,0.0,5628,5628,106,55300,3784,31.2,19.19,9
2122,93639,4220,1245,11620,39.0,11.73,3,1057,12200,413,25090,14721767,12.875,14649103,12.78,33.75,0.4094,24960,25090,14771935,24960,14699023,0.03372,0.012985,0.00736,0.06464,589.0,17.55,4676,14753408,4670,14746982,0.002478,0.000738,0.00217,0.00796,3156,420.2,27,9656,79,19,2,27.94,2360.0,6577,52.66,-79.8,-79.8,3196,27.98,0.018,32.2,0.02,0.018,1,2360.0,27.94,0.002,52.62,15.0,0.002,5200,5200,115,48580,3706,40.22,24.77,8
2204,99879,4220,1547,11990,41.12,11.78,3,1103,12620,437,26130,15332676,13.375,15189452,13.29,33.2,0.398,25890,26130,15384924,25890,15241212,0.0332,0.012634,0.003,0.06143,589.0,17.08,4850,15290879,4850,15290879,0.00238,0.0001572,0.00217,0.00796,3154,395.5,27,9656,47,11,2,27.94,2352.0,6353,55.0,-80.25,-80.25,3194,27.98,0.001,35.62,0.0,0.001,1,2352.0,27.94,0.0,55.0,15.0,0.0,5304,5304,121,49020,3898,40.8,25.16,8
1706,82471,3528,1245,9710,32.22,10.19,5,926,10270,499,20780,12198725,10.836,12198725,10.81,34.03,0.409,20780,20780,12240295,20780,12240295,0.03403,0.01276,0.002857,0.063,589.0,17.7,3924,12280261,3924,12280261,0.002296,0.000503,0.00217,0.00796,3128,381.2,27,3212,100,19,1,27.9,2562.0,2130,50.5,-82.94,-82.94,3168,27.98,0.007,30.14,0.01,0.008,1,2562.0,27.9,0.0,50.47,15.0,0.0,4324,4324,96,62940,4332,31.9,19.62,10
2388,108439,4220,1547,16850,82.6,16.8,2,1626,18350,220,35740,20968572,18.53,20968572,18.47,30.83,0.319,35740,35740,21040030,35740,21040030,0.0308,0.01187,0.003714,0.05914,589.0,17.45,5076,21104708,5076,21104708,0.002682,0.00112,0.00217,0.00796,4156,1908.0,10,19310,24,9,2,27.81,2630.0,3801,43.38,-82.2,-82.2,4384,27.97,0.041,30.14,0.04,0.041,1,2630.0,27.81,0.014,43.38,14.96,0.014,5904,5904,159,28400,2532,57.1,35.25,5
2204,99395,4220,1547,8990,22.81,8.92,3,801,9070,549,19520,11452828,10.0,11400496,9.945,54.84,0.6616,19420,19520,11491852,19420,11439342,0.05484,0.02518,0.003214,0.10645,589.0,16.83,4790,11532029,4788,11479916,0.003937,0.002434,0.00217,0.012955,2398,1562.0,27,19310,96,19,5,27.84,1869.0,1174,47.75,-80.1,-80.1,2480,27.48,0.213,25.69,0.21,0.209,2,1869.0,27.84,0.0,47.75,15.0,0.0,6424,6424,93,60160,3540,31.44,19.34,10
2288,103325,4220,1547,12720,48.03,12.82,3,1201,13600,352,27360,16058768,14.07,15993160,13.95,35.78,0.4187,27250,27360,16113492,27250,16047660,0.03577,0.01404,0.002787,0.06616,589.0,17.5,4956,16106601,4956,16100175,0.002676,0.001489,0.00217,0.012886,3250,848.5,27,19310,77,21,1,27.92,2536.0,5290,52.62,-80.4,-80.4,3366,27.92,0.068,25.95,0.07,0.068,2,2540.0,27.94,0.0,52.62,15.0,0.0,5790,5790,127,42500,3216,44.22,27.28,7
2008,94762,3840,1547,11110,37.53,10.91,4,1026,11760,437,23890,14017206,12.4,14017206,12.375,33.84,0.42,23890,23890,14064972,23890,14064972,0.03384,0.01323,0.0075,0.0684,589.0,17.53,4530,14110925,4530,14110925,0.002718,0.000881,0.00217,0.01274,3114,575.5,27,9656,53,13,4,27.64,2116.0,6363,45.22,-83.3,-83.3,3162,27.95,0.029,27.77,0.03,0.028,2,2116.0,27.64,0.017,45.2,14.91,0.017,5080,5080,111,49020,3364,36.88,22.72,8
2204,105491,4220,1547,10260,31.64,10.0,3,926,10350,463,21800,12783866,11.305,12783866,11.28,33.06,0.408,21800,21800,12827434,21800,12827434,0.03305,0.0127,0.00614,0.0618,589.0,18.5,4108,12869308,4108,12869308,0.002508,0.0004997,0.00217,0.00796,3132,496.5,15,17710,7,1,3,27.92,2162.0,866,57.8,-74.9,-74.9,3172,27.98,0.009,35.28,0.01,0.009,1,2162.0,27.94,0.0,57.8,15.0,0.0,4540,4540,105,56130,3942,34.56,21.28,9
1500,67565,2484,1245,9550,34.38,10.88,5,974,10470,522,20850,12233510,10.734,12218222,10.66,34.75,0.4314,20820,20850,12275194,20820,12259854,0.03473,0.01381,0.002928,0.07245,589.0,17.42,3940,12306452,3938,12300026,0.002653,0.001344,0.00217,0.00796,3124,441.2,27,6430,107,23,2,27.9,2396.0,748,48.66,-82.25,-82.25,3170,27.94,0.055,29.55,0.06,0.056,1,2396.0,27.9,0.0,48.62,15.0,0.0,4576,4576,105,53020,3628,31.16,19.16,9
1699,77523,3080,1547,9130,29.02,9.91,6,890,9560,523,19780,11606476,10.195,11606476,10.125,48.72,0.653,19780,19780,11646020,19780,11646020,0.0487,0.0231,0.003714,0.10846,589.0,16.64,6104,11689734,6104,11689734,0.00274,0.0005536,0.002243,0.00796,1915,838.5,18,17710,34,7,7,27.88,1666.0,1836,49.9,-79.4,-79.4,1992,27.98,0.011,30.22,0.01,0.011,1,1666.0,27.88,0.0,49.9,15.0,0.0,6536,6536,96,62340,4052,29.62,18.23,10
2544,117124,4220,2134,16690,76.3,15.77,2,1526,17420,216,34750,20387836,18.28,20387836,18.17,33.56,0.3245,34750,34750,20457312,34750,20457312,0.03354,0.01207,0.003,0.06027,589.0,17.3,4876,20520168,4876,20520168,0.002722,0.001499,0.00217,0.012955,4210,2060.0,27,19310,60,23,1,27.92,2808.0,4075,45.06,-83.8,-83.8,4444,27.8,0.069,27.06,0.07,0.068,2,2808.0,27.92,0.002,45.1,15.0,0.002,5824,5824,154,28540,2542,55.12,34.06,5
2003,91767,4220,1245,10000,29.11,9.92,3,900,10380,580,21570,12662874,11.12,12637838,11.02,55.47,0.653,21540,21570,12706022,21540,12680900,0.05548,0.02365,0.00357,0.10016,589.0,17.02,5828,12734749,5828,12726712,0.003475,0.001901,0.002243,0.00796,2184,1151.0,27,19310,74,15,7,27.73,1715.0,1276,44.47,-84.75,-84.75,2322,27.97,0.13,25.92,0.13,0.13,1,1715.0,27.73,0.004,44.47,14.98,0.004,7090,7090,100,61700,4228,33.53,20.62,10
2122,97257,4220,1245,15896,73.7,15.9,3,1526,17860,230,33860,19878248,17.52,19878248,17.47,34.88,0.354,33860,33860,19945988,33860,19945988,0.03485,0.01782,0.002714,0.06805,589.0,17.27,3620,20004740,3620,20004740,0.005417,0.002775,0.00217,0.012955,5530,4668.0,27,19310,55,21,1,27.94,2692.0,3710,40.7,-87.25,-87.25,5788,26.95,0.349,21.1,0.35,0.349,2,2692.0,27.94,0.002,40.7,15.0,0.002,6140,6140,141,28700,2588,52.7,32.53,5
2008,90372,3840,1547,10570,33.8,10.8,4,987,11290,463,23200,13619897,11.89,13532533,11.805,47.97,0.5957,23060,23200,13666305,23060,13578643,0.04797,0.02211,0.00343,0.0911,589.0,16.78,6430,13647787,6428,13628485,0.002913,0.0007014,0.002243,0.00796,2120,1367.0,27,19310,2,1,8,27.89,1675.0,871,44.1,-81.75,-81.75,2250,27.98,0.019,30.88,0.02,0.019,1,1675.0,27.89,0.0,44.1,15.0,0.0,6960,6960,105,56130,3942,36.88,22.72,9
2388,110308,4220,1547,15064,65.7,14.81,2,1426,16030,267,31840,18685144,16.5,18685144,16.47,33.06,0.3606,31840,31840,18748820,31840,18748820,0.03305,0.01181,0.003786,0.06366,589.0,17.34,5110,18807688,5110,18807688,0.003029,0.0007772,0.00217,0.012886,3678,1179.0,23,19310,19,7,6,27.95,2084.0,4319,45.78,-82.44,-82.44,3782,27.98,0.023,28.44,0.02,0.023,2,2084.0,27.95,0.0,45.8,15.0,0.0,5850,5850,142,37000,3058,50.84,31.39,6
2008,89141,3840,1547,10560,32.94,10.69,4,965,11160,477,23020,13515296,11.836,13446500,11.734,35.03,0.411,22910,23020,13561354,22910,13492324,0.03503,0.01318,0.002714,0.0663,589.0,18.05,4324,13543366,4320,13536940,0.002365,0.0007987,0.00217,0.00796,3132,401.2,27,4824,9,1,1,27.9,2590.0,540,50.38,-81.75,-81.75,3174,27.95,0.019,28.69,0.02,0.019,1,2590.0,27.9,0.0,50.38,15.0,0.0,4816,4816,106,55420,3928,36.88,22.72,9
2388,106775,4220,1547,17300,78.8,16.69,2,1626,19020,227,37300,21887728,19.17,21887728,19.12,26.3,0.2737,37300,37300,21962320,37300,21962320,0.02629,0.00843,0.008354,0.0446,589.0,17.66,4570,22027564,4570,22027564,0.002764,0.0001268,0.002386,0.00796,4820,1529.0,27,19310,27,11,4,27.95,2548.0,3868,52.03,-76.3,-76.3,4908,27.98,0.0,32.94,0.0,0.0,1,2548.0,27.95,0.0,52.03,15.0,0.0,5212,5212,165,30130,2836,57.1,35.25,5
2204,104234,4220,1547,12510,44.56,11.98,3,1126,13140,325,26560,15583646,13.89,15583646,13.836,45.47,0.4937,26560,26560,15636750,26560,15636750,0.04544,0.0189,0.00357,0.07666,589.0,17.53,5150,15688168,5150,15688168,0.003817,0.001935,0.00217,0.00796,3044,2186.0,27,19310,50,15,7,27.88,1805.0,5443,45.7,-82.3,-82.3,3120,27.83,0.154,26.0,0.15,0.154,1,1805.0,27.88,0.0,45.7,14.99,0.0,6636,6636,120,41700,3240,40.8,25.16,7
2388,115147,4220,1547,12584,45.62,11.95,2,1126,12620,342,26050,15282737,13.664,15282737,13.65,33.47,0.4072,26050,26050,15334825,26050,15334825,0.03345,0.01289,0.004356,0.06696,589.0,18.47,4748,15384470,4748,15384470,0.0025,0.001039,0.00217,0.01274,3240,727.5,27,14490,48,13,2,27.92,2380.0,5011,51.1,-80.6,-80.6,3324,27.97,0.034,30.45,0.03,0.032,2,2380.0,27.94,0.0,51.1,15.0,0.0,5390,5390,126,41150,3122,41.47,25.58,7
2204,98953,4220,1547,12616,46.75,12.7,3,1196,13650,342,27540,16164688,14.125,16085556,14.03,43.44,0.4805,27410,27540,16219770,27410,16140368,0.04343,0.01784,0.003786,0.0768,589.0,17.03,6116,16214815,6110,16195513,0.002924,0.0002766,0.00217,0.00796,2650,1762.0,27,19310,8,3,7,27.9,1885.0,5569,48.9,-81.1,-81.1,2972,27.98,0.003,32.1,0.0,0.003,1,1885.0,27.9,0.002,48.9,15.0,0.002,6680,6680,127,43400,3408,43.9,27.1,7
2204,102362,4220,1547,13224,49.97,12.81,3,1226,14330,342,28530,16745536,14.82,16745536,14.75,31.62,0.377,28530,28530,16802596,28530,16802596,0.03162,0.012474,0.003143,0.0635,589.0,16.77,4904,16856192,4904,16856192,0.002695,0.0006895,0.00217,0.00796,3438,1016.0,27,19310,53,15,4,27.94,2200.0,5104,51.34,-78.44,-78.44,3506,27.98,0.017,31.8,0.02,0.017,1,2202.0,27.94,0.0,51.38,15.0,0.0,5490,5490,133,38850,2982,43.9,27.1,7
2388,114459,4220,1547,19620,52.34,13.61,3,1226,22060,174,42720,25074148,22.08,25067092,21.95,28.39,0.2822,42720,42720,25159592,42720,25152512,0.02837,0.01216,0.00357,0.11957,589.0,17.16,4788,25233578,4788,25227144,0.00343,0.001745,0.002314,0.012955,5268,2482.0,27,19310,22,11,3,27.95,2514.0,3118,42.16,-85.8,-85.8,5650,27.8,0.113,27.3,0.11,0.112,2,2516.0,27.95,0.0,42.16,15.0,0.0,6092,6092,190,24240,2504,70.4,43.22,4
2206,99442,4220,1245,19360,72.06,16.22,4,1465,22130,115,42500,24943372,21.77,24793092,21.64,28.03,0.2754,42240,42500,25028364,42240,24877572,0.028,0.01287,0.003,0.1338,589.0,16.44,3774,24993732,3772,24950276,0.00469,0.003023,0.00217,0.01738,6616,3504.0,14,19310,30,19,1,27.64,2834.0,2991,38.97,-87.5,-87.5,7096,25.16,0.319,19.38,0.29,0.292,3,2834.0,27.64,0.021,38.97,14.87,0.019,6030,6030,179,17780,1721,68.5,42.0,3
2008,97505,3840,1547,9260,26.58,9.03,4,826,9310,523,19700,11559103,10.336,11559103,10.31,49.84,0.6343,19700,19700,11598491,19700,11598491,0.04984,0.02351,0.003357,0.09906,589.0,17.11,5560,11640765,5560,11640765,0.00296,0.001342,0.00217,0.00796,2094,984.0,6,19310,45,9,6,27.86,1708.0,1845,51.34,-81.06,-81.06,2156,27.94,0.065,30.48,0.06,0.064,1,1708.0,27.86,0.0,51.38,15.0,0.0,6304,6304,95,60400,3558,30.27,18.61,10
2544,119934,4220,2134,12940,43.97,11.92,2,1126,13120,325,27000,15850317,14.09,15850317,14.055,42.25,0.4844,27000,27000,15904335,27000,15904335,0.04224,0.0182,0.00307,0.08026,589.0,17.88,4456,15954777,4456,15954777,0.004444,0.002747,0.00217,0.00796,3580,1634.0,27,19310,7,1,1,27.92,2504.0,5388,49.1,-81.5,-81.5,3666,27.95,0.269,27.31,0.27,0.269,1,2504.0,27.94,0.0,49.1,15.0,0.0,6600,6600,120,43360,3224,42.62,26.31,7
2122,93928,4220,1245,15550,68.75,15.72,3,1486,17490,200,33860,19874612,17.36,19732316,17.22,30.28,0.3396,33630,33860,19942340,33630,19799560,0.03026,0.011894,0.00357,0.0645,589.0,17.31,4010,19858720,4010,19858720,0.004158,0.002302,0.002243,0.012886,4950,2132.0,27,19310,37,15,4,27.9,2318.0,3578,44.84,-79.4,-79.4,5076,27.69,0.213,25.81,0.21,0.213,2,2318.0,27.9,0.002,44.84,14.99,0.002,5744,5744,156,29710,2592,52.7,32.53,5
1406,133653,2484,1245,5180,7.26,5.85,3,268,1846,477,5680,3334903,2.99,3285995,5.41,49.16,1.126,5590,5680,3346261,5590,3297183,0.04913,0.0294,0.003786,0.1625,589.5,15.2,1854,3320737,1849,3312727,0.0053,0.003176,0.00217,0.01796,1792,1060.0,10,9656,30,7,7,27.25,1596.0,573,38.06,-84.0,-84.0,1926,25.84,0.384,18.14,0.33,0.334,3,1596.0,27.23,0.025,38.06,14.91,0.025,3016,3016,63,49700,3408,7.79,4.76,9
1699,79371,3080,1547,9720,30.62,10.16,5,914,10616,537,21700,12737735,11.12,12599215,10.99,49.4,0.6304,21470,21700,12781137,21470,12642145,0.04938,0.02498,0.006214,0.1653,589.0,17.33,5896,12704363,5892,12688289,0.003199,0.001381,0.00217,0.012955,2154,1344.0,27,19310,22,5,9,27.83,1701.0,1948,49.53,-78.94,-78.94,2264,27.94,0.077,28.69,0.08,0.075,2,1701.0,27.84,0.026,49.53,14.96,0.026,6772,6772,106,55870,3700,30.69,18.88,10
2204,100586,4220,1547,11944,41.53,11.85,3,1109,12740,437,25840,15169725,13.3,15085301,13.16,45.34,0.5244,25700,25840,15221419,25700,15136707,0.04535,0.01898,0.00857,0.0766,589.0,17.52,6428,15193471,6424,15190267,0.002838,8.05e-05,0.002386,0.002956,2364,1618.0,27,19310,42,11,7,27.9,1813.0,5878,53.9,-78.75,-78.75,2540,28.0,0.0,37.06,0.0,0.0,0,1813.0,27.9,0.0,53.9,15.0,0.0,6870,6870,117,49400,3784,40.8,25.16,8
2003,89681,4220,1245,10590,33.16,10.83,3,963,11150,467,22860,13421573,11.766,13313041,11.62,53.66,0.6143,22690,22860,13467309,22690,13358407,0.05365,0.02435,0.003714,0.0953,589.0,17.55,5380,13412792,5380,13409589,0.00403,0.00264,0.00217,0.012955,2492,2010.0,27,19310,56,13,8,27.89,1719.0,817,42.06,-83.0,-83.0,2580,27.48,0.225,25.02,0.19,0.19,2,1719.0,27.89,0.0,42.1,15.0,0.0,7064,7064,105,53630,3608,36.66,22.56,9
2204,97257,4220,1547,13384,52.28,13.54,3,1282,14420,342,28930,16980316,14.81,16881780,14.73,38.62,0.4492,28770,28930,17038178,28770,16939306,0.03864,0.01604,0.003,0.07587,589.0,17.25,4892,17033660,4890,16993424,0.003675,0.002325,0.00217,0.00796,3476,1646.0,7,19310,69,19,2,27.89,2394.0,5032,45.75,-81.3,-81.3,3702,27.17,0.183,24.27,0.18,0.183,1,2398.0,27.89,0.004,45.75,14.97,0.004,6516,6516,132,39900,2972,47.03,29.03,7
1699,75782,3080,1547,10320,33.62,10.79,5,969,11230,461,22640,13289166,11.6,13172402,11.49,32.9,0.4165,22450,22640,13334448,22450,13217286,0.0329,0.01319,0.003357,0.0693,589.0,17.16,4224,13266971,4224,13260545,0.002752,0.0008774,0.00217,0.012886,3140,771.5,7,14490,51,11,4,27.86,2118.0,372,52.94,-81.2,-81.2,3182,27.98,0.031,33.12,0.03,0.03,2,2118.0,27.86,0.0,52.9,15.0,0.0,4800,4800,113,47040,3328,35.16,21.67,9
2204,98816,4220,1547,11700,39.8,11.84,3,1089,12424,443,25260,14828177,12.94,14795497,12.94,37.47,0.462,25220,25260,14878711,25220,14845919,0.03748,0.01499,0.007286,0.07227,589.0,17.78,4696,14894302,4696,14894302,0.003265,0.001901,0.00217,0.00796,3172,694.0,27,19310,46,11,3,27.84,2340.0,6066,43.88,-81.4,-81.4,3232,27.84,0.127,28.6,0.13,0.126,1,2336.0,27.84,0.012,43.88,14.95,0.012,5824,5824,113,50240,3604,40.8,25.16,8
